account_id,amount,currency,transaction_type,status,description,transaction_date
2,12000.00,INR,credit,completed,Property rental - Malad West flat,2024-08-04
1,8400.00,INR,debit,completed,Cleartrip - Dussehra travel booking,2024-08-05
3,16000.00,INR,debit,completed,Philips air fryer - BigBasket,2024-08-06
1,1300.00,INR,debit,completed,Juspay UPI cashback claim,2024-08-07
1,19500.00,INR,debit,completed,Royal Enfield bike EMI installment,2024-08-08
2,7000.00,INR,debit,completed,NPS Tier-1 contribution,2024-08-09
1,5200.00,INR,debit,completed,mCaffeine - coffee body wash set,2024-08-10
1,65000.00,INR,credit,completed,Website project payment - startup,2024-08-11
1,13200.00,INR,debit,completed,Wow Momo - corporate catering,2024-08-12
1,2200.00,INR,debit,completed,BookMyShow - IMAX film night,2024-08-13
3,9800.00,INR,debit,completed,Casio watch - Tanishq outlet,2024-08-14
1,3600.00,INR,debit,completed,HealthKart protein supplements,2024-08-15
2,19000.00,INR,transfer,completed,Transfer to Diwali shopping fund,2024-08-16
1,45000.00,INR,credit,completed,Salary credit - Tech Mahindra,2024-09-02
1,41000.00,INR,debit,completed,Diwali gifts - Tanishq + Amazon,2024-09-03
1,7300.00,INR,debit,completed,HomeLane interior consultation fee,2024-09-04
2,25000.00,INR,credit,completed,Mutual fund partial redemption,2024-09-05
1,4300.00,INR,debit,completed,Swiggy Dineout - anniversary dinner,2024-09-06
3,48000.00,INR,debit,completed,MacBook Air M2 accessories bundle,2024-09-07
1,1900.00,INR,debit,completed,Rapido bike - late night office cab,2024-09-08
1,33000.00,INR,debit,completed,Indigo tickets - Durga Puja Kolkata,2024-09-09
2,8000.00,INR,debit,completed,HDFC term plan premium installment,2024-09-10
1,6400.00,INR,debit,completed,Westside ethnic wear - Navratri,2024-09-11
1,90000.00,INR,credit,completed,Year-end consulting bonus - Accenture,2024-09-12
1,15800.00,INR,debit,completed,Pepperfry bed frame + mattress,2024-09-13
1,2900.00,INR,debit,completed,Fasoos biryani - team lunch,2024-09-14
3,22500.00,INR,debit,completed,JBL soundbar - Diwali sale,2024-09-15
1,5600.00,INR,debit,completed,Heads Up For Tails - pet food monthly,2024-09-16
2,13000.00,INR,credit,completed,Rental income - Bandra property,2024-09-17
1,45000.00,INR,credit,completed,Salary credit - Infosys Ltd,2024-10-01
1,29000.00,INR,debit,completed,HP printer + cartridges - Amazon,2024-10-02
1,4700.00,INR,debit,completed,Zomato - Christmas party catering,2024-10-03
2,18000.00,INR,credit,completed,Year-end SIP bonus returns,2024-10-04
1,7100.00,INR,debit,completed,Country Club gym membership renewal,2024-10-05
3,55000.00,INR,debit,completed,iPad 10th gen - Apple Store India,2024-10-06
1,1700.00,INR,debit,completed,Dunzo - medicine and essentials,2024-10-07
1,37000.00,INR,debit,completed,Malabar Gold - gold coin investment,2024-10-08
2,11000.00,INR,debit,completed,LIC maturity premium final payment,2024-10-09
1,8900.00,INR,debit,completed,Bombay Dyeing - bedsheets + curtains,2024-10-10
1,100000.00,INR,credit,completed,Annual bonus - Wipro Q3,2024-10-11
1,19000.00,INR,debit,completed,Puma + Nike sportswear - online sale,2024-10-12
1,3200.00,INR,debit,completed,Starbucks - team offsite coffee,2024-10-13
3,31000.00,INR,debit,completed,Axis Bank credit card bill payment,2024-10-14
1,6700.00,INR,debit,completed,Tata 1mg - quarterly health checkup,2024-10-15
2,27000.00,INR,transfer,completed,Year-end savings transfer,2024-10-16
1,45000.00,INR,credit,completed,Salary credit - HCL Technologies,2024-11-01
1,52000.00,INR,debit,completed,Tanishq diamond pendant - wife birthday,2024-11-02
1,5800.00,INR,debit,completed,WOW Skin Science - annual kit,2024-11-03
2,16000.00,INR,credit,completed,Bonus rental collection - December,2024-11-04
1,9200.00,INR,debit,completed,Zerodha brokerage and charges,2024-11-05
3,42000.00,INR,debit,completed,Samsung Galaxy S24 - Flipkart Big Billion,2024-11-06
1,2000.00,INR,debit,completed,Netflix + Prime + Hotstar subscriptions,2024-11-07
1,44000.00,INR,debit,completed,Air ticket - New Year Goa trip family,2024-11-08
2,9500.00,INR,debit,completed,Kotak Mahindra ULIP premium,2024-11-09
1,7400.00,INR,debit,completed,Nobroker rent payment - Whitefield,2024-11-10
1,120000.00,INR,credit,completed,Year-end incentive - TCS FY bonus,2024-11-11
1,23000.00,INR,debit,completed,Shoppers Stop - family Christmas shopping,2024-11-12
1,4400.00,INR,debit,completed,Lenskart premium progressive lenses,2024-11-13
3,17800.00,INR,debit,completed,Bajaj Finance TV EMI payment,2024-11-14
1,8100.00,INR,debit,completed,EatFit corporate lunch subscription,2024-11-15
2,30000.00,INR,transfer,completed,Final year-end investment transfer,2024-11-16
