account_id,amount,currency,transaction_type,status,description,transaction_date,transaction_ref
3,133.7,USD,debit,completed,Routine debit — baseline day 8,2025-10-13 12:04:00,TRN-43AA81AB11404213
2,381.43,USD,debit,completed,Routine debit — baseline day 8,2025-10-13 16:34:00,TRN-F74D6868A1EA4236
2,98.98,USD,debit,completed,Small routine debit,2025-10-13 19:05:00,TRN-2D8795B9D6D74AD4
3,40.26,USD,debit,completed,Small routine debit,2025-10-13 20:13:00,TRN-473D31FF141B45CF
3,113.64,USD,debit,completed,Routine debit — baseline day 9,2025-10-14 12:21:00,TRN-B143CE2A65054AF5
2,330.41,USD,debit,completed,Routine debit — baseline day 9,2025-10-14 14:36:00,TRN-0E8373F3D20D4C0C
2,104.92,USD,debit,completed,Small routine debit,2025-10-14 18:02:00,TRN-A908CFBF987844FE
3,39.04,USD,debit,completed,Small routine debit,2025-10-14 20:00:00,TRN-7B4805DEA4944AFC
2,2964.36,USD,credit,completed,Inbound ACH — payroll,2025-10-15 09:00:00,TRN-2FD0D06D9B8741B3
3,3402.2,USD,credit,completed,Inbound ACH — payroll,2025-10-15 09:00:00,TRN-EA3F99F1F4714F44
3,82.73,USD,debit,completed,Routine debit — baseline day 10,2025-10-15 11:08:00,TRN-ADCEB621F0574C34
2,352.25,USD,debit,completed,Routine debit — baseline day 10,2025-10-15 13:05:00,TRN-0AE1B511C5004C5D
3,33.88,USD,debit,completed,Small routine debit,2025-10-15 18:07:00,TRN-B636C26913EE4612
2,163.27,USD,debit,completed,Small routine debit,2025-10-15 18:24:00,TRN-D86B219F6C0E4C46
3,121.11,USD,debit,completed,Routine debit — baseline day 11,2025-10-16 09:08:00,TRN-AADACD3404294708
2,275.59,USD,debit,completed,Routine debit — baseline day 11,2025-10-16 14:10:00,TRN-7B396A4E7FDB4A44
3,22.33,USD,debit,completed,Small routine debit,2025-10-16 18:37:00,TRN-C40833C596974DE1
2,120.58,USD,debit,completed,Small routine debit,2025-10-16 18:42:00,TRN-0891807D21CC4969
2,273.4,USD,debit,completed,Routine debit — baseline day 12,2025-10-17 10:38:00,TRN-F150FC5D496249F2
3,87.38,USD,debit,completed,Routine debit — baseline day 12,2025-10-17 11:16:00,TRN-364CA82EB6384C8D
3,23.15,USD,debit,completed,Small routine debit,2025-10-17 20:26:00,TRN-AE1D7FB553B94A49
2,143.88,USD,debit,completed,Small routine debit,2025-10-17 20:46:00,TRN-B4CF65BA239C47EF
3,107.61,USD,debit,completed,Routine debit — baseline day 13,2025-10-18 10:30:00,TRN-6164E3FFA66E4D15
2,268.96,USD,debit,completed,Routine debit — baseline day 13,2025-10-18 16:24:00,TRN-E1D0BB32157C443B
3,31.86,USD,debit,completed,Small routine debit,2025-10-18 19:32:00,TRN-115B98EFAB054496
2,111.76,USD,debit,completed,Small routine debit,2025-10-18 20:44:00,TRN-7C2F722103734F07
2,331.39,USD,debit,completed,Routine debit — baseline day 14,2025-10-19 14:53:00,TRN-48AF1AD4640F4A4E
3,114.37,USD,debit,completed,Routine debit — baseline day 14,2025-10-19 16:32:00,TRN-8C8B28AA59EF4CEB
2,155.61,USD,debit,completed,Small routine debit,2025-10-19 18:14:00,TRN-11F63ECF148C4CB0
3,26.87,USD,debit,completed,Small routine debit,2025-10-19 20:02:00,TRN-5C30F7D728024BD8
2,384.36,USD,debit,completed,Routine debit — baseline day 15,2025-10-20 14:25:00,TRN-698A298C1BFC4C50
3,127.72,USD,debit,completed,Routine debit — baseline day 15,2025-10-20 17:19:00,TRN-185C325C5D1D4048
3,32.08,USD,debit,completed,Small routine debit,2025-10-20 18:03:00,TRN-8675682C005244C2
2,111.56,USD,debit,completed,Small routine debit,2025-10-20 18:58:00,TRN-544269EDD34844DD
2,408.58,USD,debit,completed,Routine debit — baseline day 16,2025-10-21 14:13:00,TRN-7960EB56D98B4BB0
3,154.86,USD,debit,completed,Routine debit — baseline day 16,2025-10-21 15:27:00,TRN-4C040C77C5FD40D6
3,37.09,USD,debit,completed,Small routine debit,2025-10-21 19:45:00,TRN-7140121E3BA74CF6
2,145.68,USD,debit,completed,Small routine debit,2025-10-21 19:56:00,TRN-3B8C67E45A224B36
2,2881.28,USD,credit,completed,Inbound ACH — payroll,2025-10-22 09:00:00,TRN-FBD89AF9DEE841C8
3,2893.09,USD,credit,completed,Inbound ACH — payroll,2025-10-22 09:00:00,TRN-2BF06CF9622F4EEC
3,145.97,USD,debit,completed,Routine debit — baseline day 17,2025-10-22 10:57:00,TRN-F16B2ED76891416F
2,402.91,USD,debit,completed,Routine debit — baseline day 17,2025-10-22 16:09:00,TRN-655B7CF1FFE94390
2,111.31,USD,debit,completed,Small routine debit,2025-10-22 18:47:00,TRN-3F50B5B3307C4EB5
3,23.78,USD,debit,completed,Small routine debit,2025-10-22 20:09:00,TRN-64E6C281E656453E
3,61.57,USD,debit,completed,Routine debit — baseline day 18,2025-10-23 13:39:00,TRN-A8D632B7A39E4711
2,332.27,USD,debit,completed,Routine debit — baseline day 18,2025-10-23 13:47:00,TRN-1FD391A012AD4530
2,139.44,USD,debit,completed,Small routine debit,2025-10-23 20:25:00,TRN-02EACFC1A65F4CC1
3,35.93,USD,debit,completed,Small routine debit,2025-10-23 20:45:00,TRN-6DDF08B1C5D3476B
2,292.4,USD,debit,completed,Routine debit — baseline day 19,2025-10-24 11:32:00,TRN-70ABF54F73F44481
3,87.52,USD,debit,completed,Routine debit — baseline day 19,2025-10-24 17:18:00,TRN-0B1E4FA00166471B
2,131.43,USD,debit,completed,Small routine debit,2025-10-24 18:55:00,TRN-AD9BE602BB5B44E7
3,31.98,USD,debit,completed,Small routine debit,2025-10-24 20:27:00,TRN-9C3485F538464E3A
3,64.92,USD,debit,completed,Routine debit — baseline day 20,2025-10-25 10:54:00,TRN-DF65908EA9B4478B
2,241.93,USD,debit,completed,Routine debit — baseline day 20,2025-10-25 11:50:00,TRN-FFA5D500D237487D
2,147.88,USD,debit,completed,Small routine debit,2025-10-25 20:04:00,TRN-A0F8A350780348E0
3,36.4,USD,debit,completed,Small routine debit,2025-10-25 20:46:00,TRN-57E6D5D1A4024C56
3,141.55,USD,debit,completed,Routine debit — baseline day 21,2025-10-26 15:28:00,TRN-6B01CE647D68418E
2,296.95,USD,debit,completed,Routine debit — baseline day 21,2025-10-26 16:33:00,TRN-FB16CA917D874098
3,41.54,USD,debit,completed,Small routine debit,2025-10-26 19:21:00,TRN-620E3249A3F34CEB
2,110.12,USD,debit,completed,Small routine debit,2025-10-26 20:55:00,TRN-9788F69FDCE04565
2,408.49,USD,debit,completed,Routine debit — baseline day 22,2025-10-27 10:43:00,TRN-7683667BC53F467F
3,137.74,USD,debit,completed,Routine debit — baseline day 22,2025-10-27 15:26:00,TRN-353ED99195384AD3
3,38.05,USD,debit,completed,Small routine debit,2025-10-27 19:27:00,TRN-AD49D5F264824D7F
2,165.86,USD,debit,completed,Small routine debit,2025-10-27 19:49:00,TRN-6580E46751BE4CD5
2,348.19,USD,debit,completed,Routine debit — baseline day 23,2025-10-28 10:18:00,TRN-3B4D6EC86C4249B6
3,86.25,USD,debit,completed,Routine debit — baseline day 23,2025-10-28 13:23:00,TRN-3918E6CF450F40FC
2,126.26,USD,debit,completed,Small routine debit,2025-10-28 19:00:00,TRN-8C319AB32FD54DF8
3,42.98,USD,debit,completed,Small routine debit,2025-10-28 20:59:00,TRN-0E8294B0BBE94723
2,3497.15,USD,credit,completed,Inbound ACH — payroll,2025-10-29 09:00:00,TRN-A93F63F6AECB4A91
3,3412.19,USD,credit,completed,Inbound ACH — payroll,2025-10-29 09:00:00,TRN-064191A8E0F9492C
3,102.43,USD,debit,completed,Routine debit — baseline day 24,2025-10-29 10:53:00,TRN-C2DBE63ACD0F4E3A
2,410.76,USD,debit,completed,Routine debit — baseline day 24,2025-10-29 13:32:00,TRN-E356AA92354C4358
3,23.88,USD,debit,completed,Small routine debit,2025-10-29 19:06:00,TRN-63B81B07C9FC48A1
2,155.05,USD,debit,completed,Small routine debit,2025-10-29 20:58:00,TRN-200433B5ED3D4D9D
2,241.28,USD,debit,completed,Routine debit — baseline day 25,2025-10-30 13:53:00,TRN-1040672B170C4037
3,129.46,USD,debit,completed,Routine debit — baseline day 25,2025-10-30 14:51:00,TRN-CAE07842F3C24CBD
3,24.86,USD,debit,completed,Small routine debit,2025-10-30 18:37:00,TRN-4FF1457D66AC4F12
2,144.23,USD,debit,completed,Small routine debit,2025-10-30 20:12:00,TRN-00AEE1775A3A4226
2,250.57,USD,debit,completed,Routine debit — baseline day 26,2025-10-31 11:34:00,TRN-FEB2C0430CD948AD
3,150.66,USD,debit,completed,Routine debit — baseline day 26,2025-10-31 17:21:00,TRN-328E4F6E5DB841C7
3,36.74,USD,debit,completed,Small routine debit,2025-10-31 19:22:00,TRN-E123282A56454A95
2,171.91,USD,debit,completed,Small routine debit,2025-10-31 20:58:00,TRN-A42CE7830011474B
2,220.11,USD,debit,completed,Routine debit — baseline day 27,2025-11-01 14:31:00,TRN-A1790E62EBF54D5D
3,142.36,USD,debit,completed,Routine debit — baseline day 27,2025-11-01 15:55:00,TRN-59CF08BD8B584B20
3,42.15,USD,debit,completed,Small routine debit,2025-11-01 18:18:00,TRN-23308B628A1C46BF
2,89.71,USD,debit,completed,Small routine debit,2025-11-01 19:56:00,TRN-0A0D3BC6473E46D6
2,417.06,USD,debit,completed,Routine debit — baseline day 28,2025-11-02 13:15:00,TRN-559D100F413A493B
3,115.04,USD,debit,completed,Routine debit — baseline day 28,2025-11-02 14:06:00,TRN-780A1802E23E45A1
3,34.71,USD,debit,completed,Small routine debit,2025-11-02 18:09:00,TRN-17D43F0500A747A9
2,93.1,USD,debit,completed,Small routine debit,2025-11-02 20:05:00,TRN-166643D836AD4677
3,120.67,USD,debit,completed,Routine debit — baseline day 29,2025-11-03 12:54:00,TRN-F71441030CE344B9
2,237.13,USD,debit,completed,Routine debit — baseline day 29,2025-11-03 16:52:00,TRN-853CF236517C4CED
3,24.38,USD,debit,completed,Small routine debit,2025-11-03 20:23:00,TRN-EF3F455C5777432C
2,94.09,USD,debit,completed,Small routine debit,2025-11-03 20:49:00,TRN-DDE8EA8BFCB64C9A
3,66.49,USD,debit,completed,Routine debit — baseline day 30,2025-11-04 13:36:00,TRN-14D4D9A7A6004F4A
2,245.15,USD,debit,completed,Routine debit — baseline day 30,2025-11-04 16:35:00,TRN-BFFF01EBF11F4519
3,26.98,USD,debit,completed,Small routine debit,2025-11-04 19:54:00,TRN-0EEA187A3F474D67
2,102.53,USD,debit,completed,Small routine debit,2025-11-04 20:55:00,TRN-BF6A11AD80854FA2
2,2826.05,USD,credit,completed,Inbound ACH — payroll,2025-11-05 09:00:00,TRN-E80AB9E94D6B47F2
3,3474.9,USD,credit,completed,Inbound ACH — payroll,2025-11-05 09:00:00,TRN-2ED616B0502E4A20
2,341.32,USD,debit,completed,Routine debit — baseline day 31,2025-11-05 12:59:00,TRN-66253BA3BAD84726
3,111.1,USD,debit,completed,Routine debit — baseline day 31,2025-11-05 17:01:00,TRN-1D6F9AFC4F3E42F3
2,135.46,USD,debit,completed,Small routine debit,2025-11-05 20:44:00,TRN-F51071405BE242E1
3,35.4,USD,debit,completed,Small routine debit,2025-11-05 20:53:00,TRN-DCBA476AFB1D4001
3,124.35,USD,debit,completed,Routine debit — baseline day 32,2025-11-06 09:11:00,TRN-1CA3B84446194D8A
2,260.23,USD,debit,completed,Routine debit — baseline day 32,2025-11-06 13:25:00,TRN-59CA83FBE8BE4958
3,28.01,USD,debit,completed,Small routine debit,2025-11-06 19:58:00,TRN-E76662BDE57F4337
2,175.57,USD,debit,completed,Small routine debit,2025-11-06 20:23:00,TRN-3A8704BBEB3E44DA
3,88.98,USD,debit,completed,Routine debit — baseline day 33,2025-11-07 09:11:00,TRN-57B5A5F7F3C941D3
2,307.62,USD,debit,completed,Routine debit — baseline day 33,2025-11-07 17:28:00,TRN-421C511BC0D843A1
2,98.65,USD,debit,completed,Small routine debit,2025-11-07 18:04:00,TRN-E347CE4806934452
3,41.14,USD,debit,completed,Small routine debit,2025-11-07 20:42:00,TRN-74A1E1973B2A43FF
3,95.08,USD,debit,completed,Routine debit — baseline day 34,2025-11-08 11:47:00,TRN-15C15A71801F4F5C
2,287.62,USD,debit,completed,Routine debit — baseline day 34,2025-11-08 17:14:00,TRN-DF83D8DBC1B94596
2,139.78,USD,debit,completed,Small routine debit,2025-11-08 18:04:00,TRN-D705A03AD9C649D0
3,35.93,USD,debit,completed,Small routine debit,2025-11-08 18:05:00,TRN-B836669E840C42C7
2,361.57,USD,debit,completed,Routine debit — baseline day 35,2025-11-09 09:14:00,TRN-57E1AE8FDF7244F7
3,129.61,USD,debit,completed,Routine debit — baseline day 35,2025-11-09 12:24:00,TRN-3805E29054274287
2,93.93,USD,debit,completed,Small routine debit,2025-11-09 18:55:00,TRN-9625A7CAEE2942FA
3,31.24,USD,debit,completed,Small routine debit,2025-11-09 19:10:00,TRN-567362C8D706444B
3,92.01,USD,debit,completed,Routine debit — baseline day 36,2025-11-10 14:49:00,TRN-E1CA08D2C50B4C89
2,286.09,USD,debit,completed,Routine debit — baseline day 36,2025-11-10 17:15:00,TRN-C38334F356664FBE
2,112.51,USD,debit,completed,Small routine debit,2025-11-10 19:13:00,TRN-3298AA4ECE5448A9
3,42.71,USD,debit,completed,Small routine debit,2025-11-10 20:05:00,TRN-53DCD4D737B34453
3,143.33,USD,debit,completed,Routine debit — baseline day 37,2025-11-11 11:10:00,TRN-79F4B6CB1AB94835
2,327.85,USD,debit,completed,Routine debit — baseline day 37,2025-11-11 16:15:00,TRN-1D56DB0871824744
3,38.6,USD,debit,completed,Small routine debit,2025-11-11 18:43:00,TRN-A09BBCA06A9347DD
2,157.05,USD,debit,completed,Small routine debit,2025-11-11 19:12:00,TRN-6010658D7DF1443A
2,2831.74,USD,credit,completed,Inbound ACH — payroll,2025-11-12 09:00:00,TRN-452649BF85984ECA
3,2856.17,USD,credit,completed,Inbound ACH — payroll,2025-11-12 09:00:00,TRN-162EB3E91C59407B
2,238.87,USD,debit,completed,Routine debit — baseline day 38,2025-11-12 15:22:00,TRN-C78C84DF6BDD445A
3,63.16,USD,debit,completed,Routine debit — baseline day 38,2025-11-12 16:42:00,TRN-13D222AE721240FE
2,125.27,USD,debit,completed,Small routine debit,2025-11-12 19:55:00,TRN-66B8BA58D6F14297
3,31.33,USD,debit,completed,Small routine debit,2025-11-12 20:28:00,TRN-EF612EF0334A4499
2,365.82,USD,debit,completed,Routine debit — baseline day 39,2025-11-13 10:03:00,TRN-32A3CFCE56BC4472
3,96.42,USD,debit,completed,Routine debit — baseline day 39,2025-11-13 12:48:00,TRN-60CD956DDC574528
3,33.27,USD,debit,completed,Small routine debit,2025-11-13 19:27:00,TRN-34F3CD9C64434245
2,123.43,USD,debit,completed,Small routine debit,2025-11-13 19:51:00,TRN-FA5F4EFAB56B40B7
2,392.33,USD,debit,completed,Routine debit — baseline day 40,2025-11-14 12:12:00,TRN-CB533F3179D04F40
3,66.09,USD,debit,completed,Routine debit — baseline day 40,2025-11-14 16:33:00,TRN-DF92C48A7D2F4FD5
3,36.68,USD,debit,completed,Small routine debit,2025-11-14 18:14:00,TRN-7752868BDD6B4245
2,104.74,USD,debit,completed,Small routine debit,2025-11-14 19:08:00,TRN-084646FA28D142B2
3,94.53,USD,debit,completed,Routine debit — baseline day 41,2025-11-15 09:00:00,TRN-26794D387F154079
2,304.38,USD,debit,completed,Routine debit — baseline day 41,2025-11-15 13:29:00,TRN-3F1488C9933D4FEE
2,109.98,USD,debit,completed,Small routine debit,2025-11-15 18:28:00,TRN-EA33AFA2461B4A09
3,26.5,USD,debit,completed,Small routine debit,2025-11-15 18:49:00,TRN-45605C7F02C3400A
3,68.72,USD,debit,completed,Routine debit — baseline day 42,2025-11-16 13:18:00,TRN-91C8AF63D44C49EE
2,381.6,USD,debit,completed,Routine debit — baseline day 42,2025-11-16 17:06:00,TRN-7970713389A94DBA
3,29.22,USD,debit,completed,Small routine debit,2025-11-16 18:31:00,TRN-61DBD2B5DCC24C11
2,92.45,USD,debit,completed,Small routine debit,2025-11-16 20:53:00,TRN-E02E6E7C162D4BFD
2,222.95,USD,debit,completed,Routine debit — baseline day 43,2025-11-17 10:59:00,TRN-7433C8D93DAB43EA
3,129.7,USD,debit,completed,Routine debit — baseline day 43,2025-11-17 11:08:00,TRN-77B4761DD74C40C0
2,154.31,USD,debit,completed,Small routine debit,2025-11-17 18:10:00,TRN-DC256F3DE01C4DCA
3,30.36,USD,debit,completed,Small routine debit,2025-11-17 20:14:00,TRN-264A1E94B2E141E4
3,105.03,USD,debit,completed,Routine debit — baseline day 44,2025-11-18 14:04:00,TRN-7FE755CEEB3D4F35
2,301.28,USD,debit,completed,Routine debit — baseline day 44,2025-11-18 16:13:00,TRN-1CAB70F3B14A4461
2,164.09,USD,debit,completed,Small routine debit,2025-11-18 18:10:00,TRN-367DDFAF33B7479F
3,30.74,USD,debit,completed,Small routine debit,2025-11-18 20:02:00,TRN-B28BBCC657F04467
2,2881.67,USD,credit,completed,Inbound ACH — payroll,2025-11-19 09:00:00,TRN-6B905DFF3A624973
3,3064.25,USD,credit,completed,Inbound ACH — payroll,2025-11-19 09:00:00,TRN-9FF764C2AE914800
2,295.79,USD,debit,completed,Routine debit — baseline day 45,2025-11-19 15:16:00,TRN-8D0EEA36DF194FAF
3,98.62,USD,debit,completed,Routine debit — baseline day 45,2025-11-19 16:58:00,TRN-2D476CE632CE48F8
2,169.53,USD,debit,completed,Small routine debit,2025-11-19 19:18:00,TRN-2E5D5F7608B44680
3,23.71,USD,debit,completed,Small routine debit,2025-11-19 19:36:00,TRN-D91166C56DD3439B
3,97.93,USD,debit,completed,Routine debit — baseline day 46,2025-11-20 15:45:00,TRN-0D61856BF17A429C
2,304.6,USD,debit,completed,Routine debit — baseline day 46,2025-11-20 17:42:00,TRN-BDFEE8B54E494049
2,151.22,USD,debit,completed,Small routine debit,2025-11-20 18:12:00,TRN-C9F5A8645EC44827
3,36.08,USD,debit,completed,Small routine debit,2025-11-20 19:07:00,TRN-924AD9C7C6C949C1
2,279.34,USD,debit,completed,Routine debit — baseline day 47,2025-11-21 09:37:00,TRN-360B51D0E60147B9
3,95.5,USD,debit,completed,Routine debit — baseline day 47,2025-11-21 14:10:00,TRN-679991310B3E49E4
2,152.74,USD,debit,completed,Small routine debit,2025-11-21 18:47:00,TRN-66DF5C5A6EFA4407
3,39.63,USD,debit,completed,Small routine debit,2025-11-21 20:29:00,TRN-23BAE6C387EF4273
2,282.72,USD,debit,completed,Routine debit — baseline day 48,2025-11-22 09:37:00,TRN-C2E8ADA486F44A20
3,138.2,USD,debit,completed,Routine debit — baseline day 48,2025-11-22 14:05:00,TRN-36B72F19F8C941AB
3,31.61,USD,debit,completed,Small routine debit,2025-11-22 18:15:00,TRN-9D00B114284F41D9
2,129.96,USD,debit,completed,Small routine debit,2025-11-22 20:10:00,TRN-1879C018605944C8
3,98.57,USD,debit,completed,Routine debit — baseline day 49,2025-11-23 15:33:00,TRN-34355E1C0DCA4746
2,231.38,USD,debit,completed,Routine debit — baseline day 49,2025-11-23 17:05:00,TRN-F6CF6F7A07844B17
2,162.92,USD,debit,completed,Small routine debit,2025-11-23 18:38:00,TRN-BB48CCFF759A4092
3,23.73,USD,debit,completed,Small routine debit,2025-11-23 19:47:00,TRN-1D0B83C0AD674A9D
2,233.59,USD,debit,completed,Routine debit — baseline day 50,2025-11-24 12:25:00,TRN-0FF114EF9D7F4695
3,88.95,USD,debit,completed,Routine debit — baseline day 50,2025-11-24 14:49:00,TRN-EB4AB305BE084169
2,98.55,USD,debit,completed,Small routine debit,2025-11-24 20:15:00,TRN-56DDB63E86664870
3,25.7,USD,debit,completed,Small routine debit,2025-11-24 20:40:00,TRN-283359F802C843FA
2,335.78,USD,debit,completed,Routine debit — baseline day 51,2025-11-25 09:39:00,TRN-CB71CAE3A4C84068
3,66.4,USD,debit,completed,Routine debit — baseline day 51,2025-11-25 17:12:00,TRN-B66E654A29154344
3,41.93,USD,debit,completed,Small routine debit,2025-11-25 19:22:00,TRN-F53C3E3439044034
2,95.21,USD,debit,completed,Small routine debit,2025-11-25 20:37:00,TRN-B3C76917105F4446
2,3254.47,USD,credit,completed,Inbound ACH — payroll,2025-11-26 09:00:00,TRN-2546206701054D57
3,3441.98,USD,credit,completed,Inbound ACH — payroll,2025-11-26 09:00:00,TRN-3B390F5E5AEB405D
3,127.74,USD,debit,completed,Routine debit — baseline day 52,2025-11-26 11:15:00,TRN-FEC1AE8166224CEB
2,333.05,USD,debit,completed,Routine debit — baseline day 52,2025-11-26 14:59:00,TRN-4026C26583064B44
3,24.26,USD,debit,completed,Small routine debit,2025-11-26 19:12:00,TRN-36BBDAA8D878482D
2,110.95,USD,debit,completed,Small routine debit,2025-11-26 20:45:00,TRN-0215201A499A4673
3,72.35,USD,debit,completed,Routine debit — baseline day 53,2025-11-27 11:48:00,TRN-B7FBAEE40F4A4DBA
2,282.84,USD,debit,completed,Routine debit — baseline day 53,2025-11-27 13:25:00,TRN-01B29FB8A3684E24
3,38.7,USD,debit,completed,Small routine debit,2025-11-27 18:11:00,TRN-71981FF505284AC6
2,99.52,USD,debit,completed,Small routine debit,2025-11-27 20:19:00,TRN-545F2E3C8D4447A4
2,311.44,USD,debit,completed,Routine debit — baseline day 54,2025-11-28 10:00:00,TRN-BC7DB7A0C40E4F89
3,150.13,USD,debit,completed,Routine debit — baseline day 54,2025-11-28 16:29:00,TRN-0180F111E81C404A
2,128.33,USD,debit,completed,Small routine debit,2025-11-28 20:06:00,TRN-0BD562821D6645B9
3,38.6,USD,debit,completed,Small routine debit,2025-11-28 20:28:00,TRN-B9559AD833524EAD
2,234.65,USD,debit,completed,Routine debit — baseline day 55,2025-11-29 12:32:00,TRN-EDCE8DD3C33F4A51
3,123.11,USD,debit,completed,Routine debit — baseline day 55,2025-11-29 14:55:00,TRN-522898BE8259461C
3,43.36,USD,debit,completed,Small routine debit,2025-11-29 19:09:00,TRN-9C3AF487D20D4A8B
2,111.34,USD,debit,completed,Small routine debit,2025-11-29 19:56:00,TRN-F1B8A8A4CC104E07
2,233.76,USD,debit,completed,Routine debit — baseline day 56,2025-11-30 12:23:00,TRN-C008D7EB24334EDB
3,98.98,USD,debit,completed,Routine debit — baseline day 56,2025-11-30 16:28:00,TRN-FB72F59EE3D44753
3,35.89,USD,debit,completed,Small routine debit,2025-11-30 19:37:00,TRN-4DADE38CBD5A4D99
2,113.08,USD,debit,completed,Small routine debit,2025-11-30 19:53:00,TRN-9DD9C0F06F59486F
2,328.64,USD,debit,completed,Routine debit — baseline day 57,2025-12-01 13:39:00,TRN-BB6168B8B7DA499F
3,60.62,USD,debit,completed,Routine debit — baseline day 57,2025-12-01 17:04:00,TRN-0A0C142EEADE4943
3,28.83,USD,debit,completed,Small routine debit,2025-12-01 19:02:00,TRN-41C8F928D6024DD0
2,174.58,USD,debit,completed,Small routine debit,2025-12-01 20:33:00,TRN-77E5E9F7F6FE4043
3,60.69,USD,debit,completed,Routine debit — baseline day 58,2025-12-02 13:04:00,TRN-E0F6F0A186884E3F
2,221.56,USD,debit,completed,Routine debit — baseline day 58,2025-12-02 17:19:00,TRN-5374E69C5E084BE5
3,36.18,USD,debit,completed,Small routine debit,2025-12-02 18:39:00,TRN-D93D35F6E3B543D3
2,169.99,USD,debit,completed,Small routine debit,2025-12-02 18:56:00,TRN-F1237D7B7CBC4C7C
2,3290.75,USD,credit,completed,Inbound ACH — payroll,2025-12-03 09:00:00,TRN-9DF7DA1423914186
3,3113.98,USD,credit,completed,Inbound ACH — payroll,2025-12-03 09:00:00,TRN-A384133382614A06
2,246.86,USD,debit,completed,Routine debit — baseline day 59,2025-12-03 10:56:00,TRN-661DBB2850814EBD
3,114.41,USD,debit,completed,Routine debit — baseline day 59,2025-12-03 15:29:00,TRN-67A373579F7B4C82
2,97.42,USD,debit,completed,Small routine debit,2025-12-03 20:09:00,TRN-1C48290654464E8D
3,34.77,USD,debit,completed,Small routine debit,2025-12-03 20:57:00,TRN-9FD815FB7BA44997
3,59.1,USD,debit,completed,Routine debit — baseline day 60,2025-12-04 12:20:00,TRN-C4CAC843C1E94945
2,274.47,USD,debit,completed,Routine debit — baseline day 60,2025-12-04 12:45:00,TRN-B37F8750A87E4869
3,35.31,USD,debit,completed,Small routine debit,2025-12-04 20:09:00,TRN-50B7DDB0DC0E458B
2,118.17,USD,debit,completed,Small routine debit,2025-12-04 20:40:00,TRN-9AA0327E5C594C4B
3,150.77,USD,debit,completed,Routine debit — baseline day 61,2025-12-05 16:06:00,TRN-D790D2C1EB374D2F
